sale_id,sale_date,store_id,store_name,customer_id,channel,payment_method,product_id,barcode,quantity,unit_price_aed,discount_pct,promo_id,revenue_aed,cost_aed,gross_profit_aed
T000001,2025-12-21,S004,Marina Branch,C02428,Delivery,Apple Pay,P0026,2148951343321,1,12.6,0.1,PR0057,12.6,9.56,3.04
T000002,2025-11-11,S004,Marina Branch,C01335,InStore,Cash,P0078,4535218188357,6,12.13,0.0,,72.78,52.86,19.92
T000003,2025-11-15,S003,Al Barsha Branch,C03564,InStore,Google Pay,P0290,4982182744858,1,15.26,0.3,PR0053,15.26,15.55,-0.29
T000004,2025-10-26,S002,Dubai Hills Branch,C00223,Online,Card,P0286,3718376452084,4,6.8,0.0,,27.2,21.24,5.96
T000005,2026-01-03,S002,Dubai Hills Branch,C01587,Online,Card,P0088,4124782613756,1,30.42,0.0,,30.42,23.22,7.2
T000006,2025-11-10,S004,Marina Branch,C01105,InStore,Apple Pay,P0162,2325367294663,6,17.73,0.0,,106.38,87.84,18.54
T000007,2025-10-21,S002,Dubai Hills Branch,C01150,InStore,Cash,P0274,7175455884505,6,13.51,0.0,,81.06,61.38,19.68
T000008,2025-12-14,S004,Marina Branch,C03631,Online,Card,P0002,2654235116159,4,10.91,0.15,PR0029,43.64,35.16,8.48
T000009,2025-11-07,S005,Deira Branch,C03503,InStore,Cash,P0241,5011024819344,5,10.2,0.0,,51.0,39.5,11.5
T000010,2025-12-22,S004,Marina Branch,C00887,Delivery,Google Pay,P0287,3136502491637,4,12.77,0.0,,51.08,37.88,13.2
T000011,2025-11-21,S004,Marina Branch,C03016,InStore,Card,P0027,7693676320164,1,9.0,0.0,,9.0,7.61,1.39
T000012,2025-12-11,S003,Al Barsha Branch,C03743,Delivery,Cash,P0042,4711671902291,5,10.73,0.25,PR0020,53.65,48.75,4.9
T000013,2025-10-22,S004,Marina Branch,C03005,Delivery,Cash,P0288,5132719500528,1,16.54,0.0,,16.54,12.98,3.56
T000014,2025-12-23,S004,Marina Branch,C03269,Delivery,Cash,P0151,8993756798258,4,14.7,0.0,,58.8,34.08,24.72
T000015,2025-12-19,S004,Marina Branch,C03891,InStore,Card,P0005,3056413953768,2,11.78,0.05,PR0053,23.56,18.74,4.82
T000016,2025-11-23,S003,Al Barsha Branch,C00372,InStore,Google Pay,P0066,4228421020537,2,21.64,0.0,,43.28,28.08,15.2
T000017,2025-11-06,S003,Al Barsha Branch,C02337,Delivery,Cash,P0122,7426841459334,6,9.79,0.0,,58.74,38.64,20.1
T000018,2025-12-15,S004,Marina Branch,C01661,InStore,Apple Pay,P0206,1035797279857,2,9.7,0.0,,19.4,12.82,6.58
T000019,2026-01-15,S004,Marina Branch,C01577,Delivery,Apple Pay,P0217,332309821506,6,7.19,0.3,PR0010,43.14,47.76,-4.62
T000020,2025-10-21,S005,Deira Branch,C01106,Delivery,Card,P0299,9409610556616,3,17.89,0.0,,53.67,37.38,16.29
T000021,2026-01-04,S001,JVC Branch,C00225,Delivery,Apple Pay,P0074,1476797643819,3,23.28,0.0,,69.84,56.91,12.93
T000022,2025-10-31,S001,JVC Branch,C02536,InStore,Apple Pay,P0152,1254573875711,4,15.2,0.0,,60.8,38.84,21.96
T000023,2025-11-08,S003,Al Barsha Branch,C02888,InStore,Card,P0149,1672434266179,1,80.05,0.0,,80.05,66.67,13.38
T000024,2025-11-28,S002,Dubai Hills Branch,C02659,Online,Card,P0107,5953278774706,2,26.05,0.0,,52.1,42.16,9.94
T000025,2025-11-27,S002,Dubai Hills Branch,C02063,Delivery,Google Pay,P0044,2812067974037,3,12.12,0.0,,36.36,22.89,13.47
T000026,2025-10-23,S003,Al Barsha Branch,C01854,Online,Cash,P0294,8113863383929,1,18.13,0.0,,18.13,14.51,3.62
T000027,2026-01-15,S004,Marina Branch,C02183,Online,Google Pay,P0255,9904137977239,5,7.91,0.0,,39.55,32.7,6.85
T000028,2025-12-03,S005,Deira Branch,C03873,Delivery,Cash,P0136,2872808010066,1,46.64,0.0,,46.64,28.01,18.63
T000029,2025-12-14,S002,Dubai Hills Branch,C01182,InStore,Cash,P0175,3800030756222,1,58.78,0.2,PR0023,58.78,46.03,12.75
T000030,2025-11-21,S002,Dubai Hills Branch,C02033,InStore,Card,P0059,909743953393,1,15.12,0.0,,15.12,12.75,2.37
T000031,2026-01-05,S005,Deira Branch,C03972,Delivery,Card,P0152,1254573875711,1,15.2,0.0,,15.2,9.71,5.49
T000032,2025-11-30,S004,Marina Branch,C02641,InStore,Apple Pay,P0207,602933334681,4,16.12,0.0,,64.48,49.96,14.52
T000033,2025-10-25,S002,Dubai Hills Branch,C00952,Delivery,Apple Pay,P0141,9261429396858,1,14.58,0.0,,14.58,12.08,2.5
T000034,2025-12-30,S004,Marina Branch,C03223,Online,Google Pay,P0297,433504888995,3,18.45,0.0,,55.35,40.35,15.0
T000035,2026-01-10,S005,Deira Branch,C03449,Delivery,Google Pay,P0177,4451870534946,1,66.99,0.0,,66.99,56.02,10.97
T000036,2025-11-24,S004,Marina Branch,C03233,Online,Card,P0097,2029702135566,5,12.69,0.15,PR0022,63.45,56.1,7.35
T000037,2025-12-03,S004,Marina Branch,C03153,InStore,Card,P0227,1660880199486,1,27.73,0.0,,27.73,16.24,11.49
T000038,2025-11-22,S003,Al Barsha Branch,C02534,InStore,Apple Pay,P0044,2812067974037,4,12.12,0.0,,48.48,30.52,17.96
T000039,2025-11-08,S002,Dubai Hills Branch,C02730,InStore,Card,P0100,4225831323708,6,12.4,0.0,,74.4,56.76,17.64
T000040,2025-10-31,S002,Dubai Hills Branch,C02354,InStore,Google Pay,P0091,1798089324603,1,13.93,0.0,,13.93,10.33,3.6
T000041,2025-12-03,S003,Al Barsha Branch,C02727,Online,Apple Pay,P0115,4375758441983,2,8.81,0.3,PR0005,17.62,18.06,-0.44
T000042,2025-12-03,S002,Dubai Hills Branch,C00666,Delivery,Apple Pay,P0231,1699586693462,4,10.43,0.0,,41.72,31.6,10.12
T000043,2025-10-20,S001,JVC Branch,C03148,InStore,Google Pay,P0132,5183046990131,4,13.79,0.0,,55.16,35.8,19.36
T000044,2025-11-05,S003,Al Barsha Branch,C02238,Delivery,Apple Pay,P0235,8004397359897,1,28.51,0.0,,28.51,23.6,4.91
T000045,2025-12-16,S003,Al Barsha Branch,C03090,Delivery,Card,P0164,8929750017019,3,10.1,0.0,,30.3,19.11,11.19
T000046,2025-12-12,S005,Deira Branch,C02997,Online,Cash,P0089,1530515220475,3,11.19,0.0,,33.57,22.47,11.1
T000047,2026-01-11,S002,Dubai Hills Branch,C02530,InStore,Google Pay,P0241,5011024819344,5,9.69,0.05,PR0052,48.45,39.5,8.95
T000048,2025-10-28,S003,Al Barsha Branch,C02390,Delivery,Card,P0062,9651370985933,3,8.83,0.3,PR0025,26.49,22.23,4.26
T000049,2025-11-11,S003,Al Barsha Branch,C03998,Delivery,Google Pay,P0059,909743953393,1,12.1,0.2,PR0012,12.1,12.75,-0.65
T000050,2025-12-18,S002,Dubai Hills Branch,C02096,InStore,Apple Pay,P0138,862118233981,3,12.03,0.0,,36.09,27.66,8.43
T000051,2025-11-04,S004,Marina Branch,C01515,Online,Apple Pay,P0067,8117758917831,6,13.13,0.0,,78.78,49.62,29.16
T000052,2025-11-22,S001,JVC Branch,C01826,Delivery,Cash,P0003,1849593103410,3,16.89,0.0,,50.67,38.97,11.7
T000053,2025-12-12,S002,Dubai Hills Branch,C01703,Online,Apple Pay,P0189,1039308705934,1,49.58,0.0,,49.58,35.33,14.25
T000054,2025-12-10,S002,Dubai Hills Branch,C00572,Delivery,Cash,P0139,7933410166680,6,17.9,0.0,,107.4,84.66,22.74
T000055,2025-11-12,S002,Dubai Hills Branch,C03554,Delivery,Apple Pay,P0120,7420549329661,1,86.76,0.0,,86.76,52.74,34.02
T000056,2025-12-31,S001,JVC Branch,C00363,InStore,Google Pay,P0290,4982182744858,1,21.8,0.0,,21.8,15.55,6.25
T000057,2025-12-09,S003,Al Barsha Branch,C02910,Delivery,Card,P0162,2325367294663,2,17.73,0.0,,35.46,29.28,6.18
T000058,2025-11-09,S002,Dubai Hills Branch,C02010,InStore,Apple Pay,P0259,9818063565128,4,15.73,0.0,,62.92,34.72,28.2
T000059,2025-11-24,S005,Deira Branch,C01899,InStore,Cash,P0036,5067165726287,4,8.78,0.0,,35.12,23.84,11.28
T000060,2025-11-05,S001,JVC Branch,C02624,Delivery,Google Pay,P0162,2325367294663,3,17.73,0.0,,53.19,43.92,9.27
T000061,2026-01-08,S001,JVC Branch,C01179,Online,Card,P0261,2137213865893,1,19.6,0.0,,19.6,14.18,5.42
T000062,2026-01-13,S004,Marina Branch,C02020,InStore,Apple Pay,P0166,3712938700514,6,14.78,0.05,PR0036,88.68,69.72,18.96
T000063,2025-12-17,S005,Deira Branch,C01057,Delivery,Google Pay,P0213,8460223569722,5,18.8,0.0,,94.0,65.8,28.2
T000064,2025-12-03,S001,JVC Branch,C00072,Online,Card,P0098,7192856543107,5,14.75,0.0,,73.75,55.6,18.15
T000065,2025-10-24,S005,Deira Branch,C03598,Delivery,Card,P0027,7693676320164,2,9.0,0.0,,18.0,15.22,2.78
T000066,2025-11-06,S003,Al Barsha Branch,C00200,Online,Apple Pay,P0124,9822587139710,1,6.59,0.2,PR0046,6.59,6.58,0.01
T000067,2026-01-06,S005,Deira Branch,C03140,Delivery,Card,P0105,7102767735928,1,12.72,0.0,,12.72,10.07,2.65
T000068,2026-01-01,S001,JVC Branch,C03574,Online,Apple Pay,P0260,9463688725886,2,17.66,0.0,,35.32,28.48,6.84
T000069,2026-01-12,S003,Al Barsha Branch,C00393,Delivery,Apple Pay,P0063,471138267588,6,9.14,0.0,,54.84,40.86,13.98
T000070,2025-10-18,S002,Dubai Hills Branch,C03190,Online,Google Pay,P0290,4982182744858,1,18.53,0.15,PR0048,18.53,15.55,2.98
T000071,2025-11-06,S003,Al Barsha Branch,C03407,InStore,Cash,P0288,5132719500528,1,12.4,0.25,PR0029,12.4,12.98,-0.58
T000072,2025-12-14,S004,Marina Branch,C01965,Online,Apple Pay,P0064,4053773515857,1,7.97,0.1,PR0003,7.97,6.61,1.36
T000073,2025-11-03,S003,Al Barsha Branch,C02448,Delivery,Apple Pay,P0091,1798089324603,4,13.93,0.0,,55.72,41.32,14.4
T000074,2026-01-15,S002,Dubai Hills Branch,C03050,InStore,Card,P0270,8678085627188,1,69.81,0.0,,69.81,43.05,26.76
T000075,2026-01-13,S002,Dubai Hills Branch,C00514,InStore,Card,P0290,4982182744858,1,19.62,0.1,PR0040,19.62,15.55,4.07
T000076,2025-12-10,S001,JVC Branch,C00458,InStore,Cash,P0119,49915478870,6,20.09,0.0,,120.54,100.14,20.4
